month,model_pv_kwh,pvgis_pv_kwh,abs_error_kwh,pct_error
2020-01,53.96283834125519,37.34976,16.61307834125519,44.479745897310146
2020-02,131.9196154214424,108.62352,23.296095421442388,21.446640121257705
2020-03,255.228916119948,226.7058,28.523116119947986,12.581555531419127
2020-04,425.7139787668,396.29472,29.4192587668,7.423580805416736
2020-05,571.9260601067248,538.67688,33.24918010672479,6.172379276185901
2020-06,444.4333948142568,411.39088,33.04251481425683,8.031902606654002
2020-07,492.2363270687112,458.46844,33.76788706871122,7.36536784706734
2020-08,362.4949569243472,329.1904,33.304556924347196,10.117110621800391
2020-09,270.7798208978456,241.64144,29.138380897845593,12.058519804320646
2020-10,146.0887397431896,121.944,24.14473974318959,19.799858741052933
2020-11,76.81800635685039,56.688719999999996,20.129286356850393,35.50845098786918
2020-12,39.975995270556794,25.1344,14.841595270556795,59.04893401297344
